initial_population_size,num_scouts,num_local_searches,max_iterations,execution_id,iteration,score,corner_score,edge_score
50,50,50,50,1716159807,0,17,5,12
50,50,50,50,1716159807,1,16,4,12
50,50,50,50,1716159807,2,14,3,11
50,50,50,50,1716159807,3,13,2,11
50,50,50,50,1716159807,4,13,2,11
50,50,50,50,1716159807,5,13,2,11
50,50,50,50,1716159807,6,13,2,11
50,50,50,50,1716159807,7,11,0,11
50,50,50,50,1716159807,8,10,0,10
50,50,50,50,1716159807,9,8,0,8
50,50,50,50,1716159807,10,7,0,7
50,50,50,50,1716159807,11,7,0,7
50,50,50,50,1716159807,12,6,0,6
50,50,50,50,1716159807,13,6,0,6
50,50,50,50,1716159807,14,6,0,6
50,50,50,50,1716159807,15,5,0,5
50,50,50,50,1716159807,16,5,0,5
50,50,50,50,1716159807,17,5,0,5
50,50,50,50,1716159807,18,5,0,5
50,50,50,50,1716159807,19,4,0,4
50,50,50,50,1716159807,20,4,0,4
50,50,50,50,1716159807,21,4,0,4
50,50,50,50,1716159807,22,3,0,3
50,50,50,50,1716159807,23,3,0,3
50,50,50,50,1716159807,24,2,0,2
50,50,50,50,1716159807,25,2,0,2
50,50,50,50,1716159807,26,2,0,2
50,50,50,50,1716159807,27,2,0,2
50,50,50,50,1716159807,28,2,0,2
50,50,50,50,1716159807,29,2,0,2
50,50,50,50,1716159807,30,2,0,2
50,50,50,50,1716159807,31,0,0,0
